,_id,name,followers,genres,popularity
114,70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,752849,"['album rock', 'classic rock', 'folk', 'folk christmas', 'folk rock', 'folk-pop', 'melancholia', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",70
115,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,363675,"['alternative rock', 'art rock', 'classic funk rock', 'classic rock', 'dance rock', 'experimental rock', 'folk', 'folk rock', 'garage rock', 'indie rock', 'lo-fi', 'melancholia', 'neo-psychedelic', 'new wave', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soul', 'traditional folk']",62
116,2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,225906,"['album rock', 'art rock', 'blues-rock', 'classic rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter']",61
117,3ZWab2LEVkNKiBPIClTwof,Townes Van Zandt,66362,"['acoustic blues', 'alternative country', 'country blues', 'country rock', 'folk', 'folk christmas', 'folk rock', 'indie folk', 'mellow gold', 'new americana', 'outlaw country', 'roots rock', 'singer-songwriter', 'texas country', 'traditional blues', 'traditional country', 'traditional folk']",54
118,08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,401983,"['album rock', 'british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'nasheed', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",66
119,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,411016,"['art rock', 'classic rock', 'folk', 'folk rock', 'folk-pop', 'roots rock', 'singer-songwriter', 'traditional folk']",60
120,31HjiqargV4NAw4GZqUale,Ace Hood,334090,"['crunk', 'deep underground hip hop', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",61
121,5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,190104,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",63
122,6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,586085,"['crunk', 'deep trap', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",75
123,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,352346,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",73
124,4yBK75WVCQXej1p04GWqxH,Jeezy,591398,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",74
125,67nwj3Y5sZQLl72VNUHEYE,Wale,733451,"['dance pop', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",76
126,6vXTefBL93Dj5IqAWq6OTv,French Montana,547376,"['dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",78
127,6X8WdFjrNhXATMDSs26aCc,Curren$y,198262,"['crunk', 'deep underground hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop', 'west coast trap']",61
128,0YWxKQj2Go9CGHCp77UOyy,Fabolous,308690,"['crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'trap music', 'urban contemporary']",68
129,3ZooCJzNMTLpmJaIRUEorI,Young Dro,111545,"['crunk', 'deep southern trap', 'deep trap', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",55
130,35sCXuy5gN6Or69rZ9vqBs,Birdman,175947,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",63
131,3jksrX4oBklxR78ft8gv3j,Plies,228801,"['crunk', 'dance pop', 'deep pop r&b', 'deep southern trap', 'deep trap', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",61
132,6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame,534806,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",71
